Street_Name,Nodes
ALTA AVENUE,"[{49461834, 49562348, 49562350, 49458415, 49473845, 49529085}]"
LORD BYRON LANE,"[{37383684, 37784807, 37784780, 5268354453, 37383670, 37784796}]"
COURTHOUSE COURT,"[{829534328, 37600614}]"
PAINTERS PLACE,"[{37703638, 37703639}]"
SOUTH WASHINGTON STREET,"[{49475042, 49475038, 49475046, 49475050, 49475052, 49475030, 49475034, 49475036, 49471354}]"
MARRIOTT STREET,"[{49535058, 49524771, 49535054, 49461591}]"
KIMMEL AVENUE,"[{37655631, 37691286, 37690393, 37691292, 37691294}]"
NORMANDY PLACE,"[{49457900, 49457902}]"
SHADYSIDE ROAD,"[{49490960, 49421156, 49421157, 49501244}]"
CARROLL RUN COURT,"[{37657933, 37657926}]"
SEKOTS ROAD,"[{49469281, 49469283, 49501721, 49501692, 49501695}]"
CAMERON RIDGE COURT,"[{37896481, 37735660, 37535567, 37735672, 37735707, 2035749724}]"
MACCONNACHY SQUARE,"[{37529721, 37529737}]"
BRADWELL COURT,"[{37677659, 37645587}]"
BLAIRS PRIVATE ROAD,"[{37585618, 37935308}]"
SAXONY COURT,"[{37939651, 37629077}]"
ORLANDO ROAD,"[{37791875, 37759237, 37791877, 37791864, 37791865, 37791869, 2154751775}]"
OSAN ROAD,"[{37693324, 37629663}]"
EASTMOOR LANE,"[{37590264, 37590258, 1453372572, 37590253}]"
ANNELLEN ROAD,"[{49493020, 49378269, 49554911}]"
FITZ COURT,"[{37870380, 37870381}]"
DARLINGTON DRIVE,"[{37819472, 37800732, 37819470}]"
HAPPY LANE,"[{37538475, 37538478}]"
ROCHELLE ROAD,"[{37916057, 37616394}]"
EVANSHIRE AVENUE,"[{49477537, 49557164, 49481956}]"
BISHOPS GATE COURT,"[{37896274, 37896263}]"
DALTON AVENUE,"[{37608358, 37608310, 37608312, 37589529, 37608346}]"
OLD OREMS ROAD,"[{37685026, 37844324, 37921229}]"
GRAND CENTRAL AVENUE,"[{3827923203, 2457607267, 3827923235, 2457607238, 3827923204, 3827923177, 3743615274, 37354507, 2457607276, 696070031, 2457607279, 3827923185, 3278454676, 3278454681, 3827923162, 3827923195, 2457607261}]"
EVANSTON ROAD,"[{2478469464, 2212222243, 2478469461, 37665535}]"
FRANKFORD ESTATES DRIVE,"[{926705827, 926705863, 926705864, 926705837, 926705847, 926705851, 926705884, 926705885, 926705823}]"
LENSTROM FRIEND COURT,"[{1928113095, 1928113079}]"
PITCHER STREET,"[{49558105, 49457758, 49482367}]"
TURNSTONE COURT,"[{4705183585, 4705183586}]"
STAPLETON COURT,"[{37480041, 37383555}]"
SASSAFRAS STREET,"[{49549294, 49506863}]"
ROUNDVIEW ROAD,"[{49469961, 49469995, 49456171, 49469968, 49470012}]"
WELLS AVENUE,"[{37018241, 37018248, 37018250, 37659797, 37018232, 37018237}]"
HEALY FARM ROAD,"[{37758146, 37675907}]"
TRANSCRIPT CIRCLE,"[{671842721, 671842724}]"
HADMAN COURT,"[{37901315, 37882895}]"
REUTER ROAD,"[{37578722, 37709186, 37607588, 37709157, 37572073, 37666411, 37709200, 37709201, 37709203, 37709177, 37709147, 37709180}]"
SAINT MONICA DRIVE,"[{957273030, 37756070, 957273032, 37756077, 957273037, 37504879, 37756080, 37756081, 957273040, 37501658}]"
WEST CAMDEN STREET,"[{49391009, 49475742, 49487382}]"
PINYON COURT,"[{37645657, 37813517}]"
CLERMONT COURT,"[{37562392, 37318958}]"
WHEELER LANE,"[{37644477, 37644607}]"
NEAR THICKET LANE,"[{5236870024, 37645473, 5236869509, 37857607}]"
BELLMAN COURT,"[{37939664, 37905721}]"
POLK STREET,"[{49566880, 49566882, 49566883, 49468555, 49516017, 49566878}]"
DORIAN ROAD,"[{37564945, 37564931, 1445918269, 37564935}]"
KRAFT HILL ROAD,"[{8263012867, 1301478851, 1301478781}]"
NORTH DENHAM CIRCLE,"[{49515920, 49515939}]"
ARMISTEAD ROAD,"[{37518031, 37700336, 37700338, 37700339, 37659797, 37700343, 37018232}]"
WESTGATE COURT,"[{37678192, 37678186}]"
BROWWOOD ROAD,"[{37686738, 37686772}]"
SCHAFFERS ROAD,"[{37567384, 1201936996}]"
GOODWOOD ROAD,"[{49560029, 49560010, 49546124, 1102918821}]"
OELLA AVENUE,"[{37720290, 37469027, 37560969, 1314191978, 37658793, 37720240, 37586192, 37658995, 37720372, 2684560123}]"
AINSLEY GARTH,"[{49559996, 49559997}]"
RIVERTHORN ROAD,"[{37923312, 37764179, 37669071}]"
WOLVERTON ROAD,"[{37769986, 37867123}]"
EAST BRANCH ROAD,"[{37778872, 37698743}]"
GRAVELO CIRCLE,"[{37621352, 37643285}]"
KILBEGGAN GREEN,"[{37454684, 37598438}]"
HARROW COURT,"[{37812664, 37822256}]"
BRIGADOON DRIVE,"[{37756967, 37756943}]"
LINDIN WAY,"[{37029929, 37529788, 1386724345}]"
APPLEWOOD LANE,"[{37734610, 37666143}]"
WICKFORD ROAD,"[{49514883, 49526659, 49483875, 49505735, 49526696, 2695801709}]"
BRETTON PLACE,"[{1323163986, 49476460}]"
STEUART STREET,"[{49479449, 49475279}]"
MELBOURNE ROAD,"[{37740897, 49534376, 37777420, 37398161, 49476083, 37735764, 37735765, 37677142, 49534364, 49534355, 49464665, 49524727, 49478907, 37665500}]"
HARDEN LANE,"[{37672608, 37672588, 37672632, 37672626, 37769528, 37672572}]"
CINNAMON RIDGE PLACE,"[{37291826, 37726403, 37726388, 37291830}]"
LATIMORE WAY,"[{37624691, 37659172, 37277454}]"
MCHENRY STREET,"[{49476226, 49464965, 49513870, 49456201, 49411409, 49411411, 49411412, 49484500, 49484505, 49459418, 49484507, 49484508, 49484510, 49484511, 49484512, 49484519, 49484522, 49484524, 49484526, 49484527, 49484534, 49481085}]"
RUNNYMEADE ROAD,"[{37596864, 2124633280, 37702977, 37703043, 906918295, 393527863, 37703046, 37581512, 37694239, 37702966, 2123303095, 37703000, 37582938, 37703099, 2124633311}]"
HINTON AVENUE,"[{37627910, 37627911, 37801095, 37627913, 37627915, 37627919, 37627921, 37627923, 1433174997, 37627925, 37627927, 37627929}]"
HOSPITAL DRIVE,"[{37735774, 37564578, 37735790}]"
CATON CENTER DRIVE,"[{37295400, 37100570}]"
PARK HILL AVENUE,"[{803094515, 49462062}]"
HOLLY KNOLL DRIVE,"[{37721456, 37721505, 37721539, 37714479}]"
BARRON AVENUE,"[{37640176, 37640177, 1738523167}]"
ARROWHEAD COURT,"[{1232858718, 37745343}]"
LYTTLETON ROAD,"[{49537744, 49536305, 49523788}]"
PRICE AVENUE,"[{49508705, 49515362, 49472421, 49505128, 49516172, 49505037, 49494930, 49494932}]"
AMBLER ROAD,"[{37602578, 37602562, 37602547, 37582141}]"
FERNLEY ROAD,"[{49501225, 49463323}]"
REVOLEA BEACH ROAD,"[{37704917, 37704914, 37615149, 37612238}]"
CELESTE AVENUE,"[{37773424, 842396462}]"
COLD STREAM WAY,"[{37702169, 37770449, 37770485, 37545721, 37659004}]"
DULANEY COURT,"[{37714817, 37858815}]"
STABLEMERE COURT,"[{37755580, 37755598}]"
JARRETTSVILLE PIKE,"[{37604994, 37863333, 37606183, 37481419, 37443501, 37890095, 37877008, 37704784, 37861104, 37715091, 37793521, 37890261, 37608178, 37890160, 37696593, 37714135, 37852795, 37481372}]"
IRON GATE COURT,"[{37821656, 37940421}]"
DELBERT AVENUE,"[{37458401, 37458395}]"
OLD PINE ROAD,"[{37764138, 37585108}]"
HARTWAIT STREET,"[{49499823, 49453373, 49443582, 49459711}]"
STILE POST LANE,"[{37621122, 37562438}]"
LARUE SQUARE NORTH,"[{49468131, 2874604935}]"
PALMERSTON COURT,"[{37812796, 37321486}]"
SANDSBURY ROAD,"[{37749620, 37584493}]"
DONERIN WAY,"[{37770664, 2894269137, 37400332, 37715063}]"
EAST 27TH STREET,"[{49558468, 1393212932, 49558471, 49470088, 49541546, 49459949, 49522286, 49556367, 49486831, 49527540}]"
GOLD STREET,"[{49456608, 49456611, 49456613, 49456615, 49379144, 49456617, 49456620, 49456622, 49456599, 2633074586}]"
BRADDISH AVENUE,"[{49526534, 49506695, 49526536, 49485706, 49428493, 49428494, 49500432, 49458577, 49526556, 49526559, 49526569, 49508657, 49526579, 49526589, 49525569, 1409337544, 49480525, 5300283991, 49493337, 49526518}]"
CAVEL ROAD,"[{37750228, 37750183}]"
VICTORIA FALLS DRIVE,"[{37344586, 37705157}]"
SOUTH WARWICK AVENUE,"[{49580097, 49560546, 49395243, 49469039}]"
EULER AVENUE,"[{37613082, 37729054}]"
BROWNSTONE COURT,"[{3185005112, 3185005099}]"
SHADY HILL COURT,"[{37930475, 37762614}]"
HILLSYDE COURT,"[{37582049, 37386563}]"
COYNE DRIVE,"[{37683354, 37628967}]"
MELANIE ROAD,"[{3075374359, 3075374360, 3075374364, 37596503, 37580863}]"
GIST AVENUE,"[{49469184, 49469185, 49469186, 49469187, 49469188, 49469189, 2195090182, 49469191, 49469192, 49469195, 49469196, 49469197, 49469199, 1101347228, 49455419, 49469002, 49469171, 49469173, 49469174, 49469175, 49469176, 49469177, 49469178, 49469179, 49469180}]"
MECCA LANE,"[{1009030323, 37800932}]"
EATON STREET,"[{49468633, 2912245829}]"
JACLYN CIRCLE,[{37619677}]
WHITE OAKS AVENUE,"[{37526342, 5638313002, 37630318, 5638312980, 37630326, 37630330, 5638315676, 37597790, 37630335}]"
ENDSLEIGH AVENUE,"[{37783745, 37894470, 37894986, 37359601, 37888602}]"
NORTH FOREST PARK AVENUE,"[{49480066, 1069731845, 49555080, 1069731851, 49457677, 1923118356, 49558303, 871382181, 49558311, 49558313, 1923118382, 49500215, 1444921912, 49537978, 49467970, 49558343, 9810083277, 5282840910, 1444922832, 49460055, 37682393, 49533407, 37621348, 49547622, 49521004, 49465966, 49475566, 49538158, 49525618, 49545715, 49459062, 49449209}]"
DARROW DRIVE,"[{37566273, 37566270}]"
HADDINGTON ROAD,"[{37647780, 37605918, 37647769, 37647803, 37647742}]"
ROLLWIN ROAD,"[{37682523, 37682532}]"
TOMBER COURT,"[{37668252, 37668231}]"
VICTORIA GREEN COURT,"[{37559421, 37559398}]"
BRAY COURT,"[{37837588, 37736373}]"
PENSEL ROAD,"[{3185037626, 2264085939}]"
ROSABEL AVENUE,"[{49514946, 49469231}]"
QUEENS LACE STREET,"[{37581480, 37638161, 37733624}]"
HAZELWOOD CIRCLE,"[{49482938, 49513742}]"
NORTH CHARLES STREET,"[{7647221266, 852344341, 49500702, 49501741, 49425971, 49480757, 49463353, 1323047996, 740230216, 49522249, 832351817, 49439308, 49522265, 49522271, 49522274, 49522276, 49396328, 49522280, 49421928, 49522283, 49522286, 49522288, 49496689, 49522289, 49522291, 49512565, 49522303, 49522308, 49522310, 49522311, 49522316, 49522324, 49469080, 37572259, 49522340, 49522352, 49500850, 49500852, 49488566, 49522361, 49522362, 49522364, 37572285, 49494211, 37341892, 37341894, 37572297, 49504457, 49470158, 49522383, 7647133904, 49497809, 49522388, 49522391, 49502937, 49489117, 49522397, 49470176, 49479392, 832288993, 1245501154, 37572326, 49522409, 7194072297, 49522418, 49522420, 1330253561, 49484027, 49484549, 49522442, 49475347, 107692819, 49481494, 49488664, 1330253599, 1330253603, 49497896, 49499460, 49457503, 49514850, 49457509, 288278897, 49483638, 4018337152, 49445765, 49514373, 8929135498, 8929135499, 8929135500, 49454992, 49454993, 1456305062, 49391538, 852344247, 49488847, 49488354, 49515497}]"
THYME COURT,"[{37683530, 37683531}]"
SAINT PAULS LANE,"[{37100209, 37100330, 37682209}]"
HAMLET HILL ROAD,"[{5061253960, 5061253939, 49420580, 49469109}]"
BEE JAY COURT,"[{37933285, 37803909}]"
MORNINGTON ROAD,"[{37582146, 37582148, 37582180, 37582150, 37582152, 37582155, 37582191, 37582159, 37582161, 37582162, 1390329908, 37582165, 37395606, 37582167, 37582170, 37582173, 37582175}]"
PEN LUCY AVENUE,"[{49492543, 49542263}]"
LAKESIDE DRIVE,"[{1082074073, 2103672670}]"
BROMPTON COURT,"[{37616554, 37891062}]"
GATEVIEW ROAD,"[{37598305, 37545899, 37598285, 37598286}]"
FRANKFURST AVENUE,"[{49499268, 632728837, 49485578, 632728843, 49388565, 49499291, 632728859, 5470247200, 632728866, 49499305, 632728874, 5270634794, 632728875, 5270634797, 5270634796, 5270634795, 49424575, 5470247110, 5470247111, 842830800, 49385681, 5470247121, 5470247120, 842830806, 49483228, 1136186081, 49442677, 49442680, 5471912441, 49579004, 49434879}]"
GOODVIEW ROAD,"[{37849619, 37907375}]"
FLINN COURT,"[{37605259, 37871125}]"
PLEASANT MEADOW ROAD,"[{37628757, 37628823}]"
DAYTONA ROAD,"[{37833313, 37833285, 37759238, 37820454, 37579081, 37619149, 37610200, 37833273, 37833278}]"
COMPRESSION COURT,"[{37697889, 37598951}]"
GYPSY LANE EAST,"[{37726474, 37579843}]"
LENBERN ROAD,"[{37866369, 37808450}]"
CHAPMANVIEW COURT,"[{37645485, 37645486}]"
WILTSHIRE ROAD,"[{37647618, 37734952, 37703274, 37658352, 37696977, 37338653}]"
FORDWOOD COURT,"[{37571963, 37754132}]"
WEST MONUMENT STREET,"[{49550819, 49541924, 2405689095, 49558281, 49519946, 49558283, 49484300, 49555278}]"
CARLI COURT,"[{1505274113, 1505274076}]"
GOLDEN RING ROAD,"[{37610245, 37610246, 37610259, 37610265, 37610267, 37610271, 37562663, 37603113, 37674795, 37365547, 37610161, 37610295, 37610168, 37610174, 37610183, 37610187, 37610192, 37579479, 37610200, 37610202, 648096737, 37610210, 37588066, 37607398, 37610218, 37830508, 37610228, 37461109, 37606776, 37610235}]"
CORSE AVENUE,"[{1401750234, 49398811, 49531366, 49564127}]"
CHARLCOTE ROAD,"[{49470147, 49503592, 1323049705, 1292536912, 49522034, 49475347, 1323049757}]"
BLUE HILL ROAD,"[{37615284, 37615295}]"
CENTRAL AVENUE,"[{37807489, 37807492, 37601162, 4250947219, 37295382, 37807484, 37675429, 37754277, 4422183724, 37682351, 37797295, 37778609, 37626169, 37807545, 37800123, 49529660, 37807552, 49482562, 37807555, 37619528, 37807561, 5504357717, 631296471, 896441447, 49546730, 49546731, 37807470, 37765616, 49546736, 37807482, 37718652}]"
GREENERY COURT,"[{37568227, 37739325}]"
INNOVATION WAY,"[{494546136, 6965459304, 6055016990}]"
ALBRIGHT AVENUE,"[{37807555, 37787604}]"
CEDARVALE COURT,"[{37776315, 37597838}]"
RITTER AVENUE,"[{49459780, 49459775}]"
SHARROW COURT,"[{37652344, 37652343}]"
MERCERON AVENUE,"[{974308104, 49460925, 49460926}]"
CASTANEA COURT,"[{37267528, 4457381209, 37631215}]"
HOLLY MANOR ROAD,"[{37585933, 37607239}]"
RICHLYN DRIVE,"[{37582472, 2483466409, 37582507, 37582496}]"
CLARINGTON ROAD,"[{663434748, 663434635, 663434636}]"
KENILWORTH DRIVE,"[{4070046496, 37757792, 37845153, 1737875778, 37600644, 37845156, 37572454, 1453372551, 37432359, 1737875689, 37572494, 37730833, 621522833, 37845140, 37637685, 37816377, 37816317}]"
EAST 21ST STREET,"[{49488672, 49488689, 49488694, 49488664, 49486810, 49488698, 49488701, 49470078}]"
WILLIAM COURT,"[{37725487, 37258695}]"
GLENOAK AVENUE,"[{49497984, 49457410, 49457186, 49497990, 49497960, 49497992, 49497994, 49497996, 49497999, 49497968, 49498001, 49497982, 49473816, 49498009, 49497978, 49498011, 49458398}]"
BENSON MILL ROAD,"[{37809120, 37631554, 37742087, 37808589, 37808892}]"
ROBIN GIBB LANE,"[{37796706, 37411067}]"
BELLONA LANE,"[{37683969, 37632146, 37520830}]"
ORKNEY ROAD,"[{49481989, 4458491788, 49462382, 49462383, 49482001, 49482002, 49474900}]"
BALIN COURT,"[{37692713, 1447946951}]"
NORTH POTOMAC STREET,"[{49544224, 49514307, 49544228, 49482794, 49458986, 49464618, 49501837, 49456942, 49467087, 49537901, 982863155, 49391349, 49544215, 49475160}]"
RUXVIEW COURT,"[{37817034, 37702795, 37817078, 37817031}]"
DELBARTON COURT,"[{37853016, 37874931, 37874941}]"
BROOKVIEW ROAD,"[{37609953, 37645218, 37645090, 37645092, 37645134}]"
OAKDALE ROAD,"[{49468768, 49524385, 49541026, 49569349, 49574726, 49574725, 49524520, 49569353, 1233164140, 49469869, 49492895, 49569311}]"
ROLAND AVENUE,"[{49524480, 49524490, 49488396, 49488397, 49524494, 49408015, 49524492, 49408017, 49524371, 49467289, 49485562, 1450769950, 49485563, 49524385, 5266466596, 49498532, 49498534, 49514920, 5266853417, 5266853418, 49482410, 49477628, 49484204, 49498537, 49514922, 49507064, 49524401, 49514928, 49521838, 49507065, 49524533, 49524407, 5019937721, 8730938042, 3079479485, 49400000, 49505088, 49524416, 49524520, 49524547, 49524549, 49524424, 49455049, 1579568203, 49476172, 37567570, 1579568212, 49459319, 6301215961, 37624667, 6138499169, 5266557666, 5266557667, 5266557668, 5266557669, 37688422, 49524454, 49465064, 49465066, 5019950578, 49524458, 49524334, 49486319, 37688434, 49440243, 49514738, 49514741, 37688438, 37688439, 49459320, 49407993, 49407994, 49465078, 49469813, 1395620597, 49522088}]"
ARBOR DRIVE,"[{667415992, 667415994, 667417890}]"
WEITZ MANOR LANE,"[{1362310760, 1362310761}]"
CABOT ROAD,"[{37853318, 37359750, 37588565, 37588606}]"
MONUMENTAL AVENUE,"[{37384773, 37721257, 37609933, 37631086, 37658064, 37717689, 37817562, 37658075, 37460095}]"
SHANEYBROOK CIRCLE,"[{37847633, 37907641, 37735596, 37824679}]"
TREGARONE ROAD,"[{37602843, 37602851, 37572179, 37602830}]"
CLIPSTONE COURT,"[{37930395, 37842879}]"
POINT PLEASANT ROAD,"[{37904280, 37624724, 2190489541}]"
LAUREL DRIVE,"[{37806634, 37798346, 37753873, 37780223, 37798068, 37618710, 37896311, 37635833, 37685241, 37774270, 37584575}]"
KETTLE BOTTOM ROAD,"[{3185005089, 3185005101}]"
PARKWIND COURT,"[{37837526, 37582798}]"
RICKY TREVOR ROAD,"[{3185020577, 383978340, 383978341, 383978344, 1272447339, 1272447406}]"
HIGHLANDS COURT,"[{37325436, 37872956}]"
HONEYGO BOULEVARD,"[{37581312, 1375436807, 37581320, 1375436814, 37581326, 3517516306, 1375430676, 37581341, 1375440416, 37429800, 2460002860, 884835885, 2460002877, 2892660292, 8709856324, 8709856325, 2892660297, 37580877, 1375429712, 692315217, 37580883, 37429850, 884804711, 37580904, 37558890, 37580906, 3306929260, 884885103, 37337716, 37383292, 5693269120, 37580931, 37580954, 37580957, 37580967, 37423297, 37534401, 884801731, 660503240, 1375429834, 37558990, 884885203, 37289189, 703007465, 37581046, 9464708855, 9464708857, 37581051, 884885252, 37581066, 37581069, 884802319, 37581074, 884885275, 37581090, 911971107, 37581098, 387542829, 387542836, 884802357, 37502779, 37502782, 692315458, 388416836, 37386566, 911975754, 2904982348, 37581139, 692315475, 1140265305, 37581147, 37581149, 387542878, 37287281, 37287282, 8270462833, 1140265333, 8270462837, 37386615, 388418935, 37581179, 8270462846, 37581183, 2892660608, 692315535, 884804496, 692315537, 37581202, 884803474, 388416915, 37581209, 692315547, 884802472, 37581225, 37581240, 1140270011, 692315071, 11051546050, 692315600, 11051546069, 37581286, 37581300, 1375430648}]"
MONTEREY ROAD,"[{610445637, 49490854, 49483212, 49458513, 49499739}]"
GILMAN TERRACE,"[{803132994, 1808834421, 803133058}]"
MEDFIELD AVENUE,"[{49562528, 49529601, 6810165552, 6810165553, 49515058}]"
NORTHBROOK ROAD,"[{37644904, 37644905, 37644906, 37644907, 37644912, 37644892}]"
BATTERY AVENUE,"[{49463488, 49463490, 49463496, 4495515560, 49463501, 49459861, 49463482, 49463485}]"
GLADSTONE AVENUE,"[{1395620597, 49476171, 49476172, 49393765}]"
ROBCASTE ROAD,"[{37612881, 37353668, 2813608964}]"
TAMWORTH ROAD,"[{49563332, 49460542, 49522391}]"
NORTH STOCKTON STREET,"[{49529312, 49546289, 49464427, 49458599}]"
BURTON AVENUE,"[{1578438634, 37900547, 37686279, 37382927}]"
SEAWAVE COURT,"[{37804461, 1296934198}]"
HOWARD DRIVE,"[{37669197, 37669191}]"
SUNSET KNOLL COURT,"[{37744554, 37411651, 37037445}]"
RICHARDSON ROAD,"[{2138022912, 37808450, 393491173, 37808430, 37808466, 37541844, 37808436, 37712853, 37634040}]"
GERANIUM PLACE,"[{37654905, 37588974}]"
MARKSWORTH ROAD,"[{37687680, 2584431616, 37743034, 37805500, 37579967}]"
CHAMPIONSHIP COURT,"[{37642889, 37648423, 37642903}]"
SUNSET RIDGE ROAD,"[{37656969, 37656940, 37655614}]"
GLEN ECHO COURT,"[{37621606, 37621599}]"
HUDSON ROAD,"[{37909400, 37597676}]"
DURUM COURT,"[{37583317, 37583318}]"
EASTWOOD DRIVE,"[{49485217, 49560724, 49520214}]"
CHAMBORLEY DRIVE,"[{671840227, 671840231, 6037853164, 671840239, 671840240, 1467592823, 37573593, 671840219}]"
HUNTSWORTH LANE,"[{37821492, 37652653}]"
NEWCASTLE ROAD,"[{37620584, 37620626, 37620628, 37620637}]"
MIDWOOD AVENUE,"[{49499424, 49513282, 49513251, 49513283, 49513253, 49487337, 49513289, 1825397130, 49513298, 49513273, 912969657, 49462135, 49513272, 49486073, 49513243, 49513245}]"
NORTH MORLEY STREET,"[{49549433, 49424732, 49474125}]"
WEYBURN COURT,"[{37738361, 37738363}]"
METHWOLD COURT,"[{37712200, 37717546}]"
SCHERING ROAD,"[{49547626, 49494015}]"
DEERING AVENUE,"[{49503185, 49431534}]"
RIVERVAN AVENUE,"[{37615282, 821379596, 821379597, 821379598}]"
ROSTRUM DRIVE EAST,"[{49415465, 49390693}]"
GWYNNDALE AVENUE,"[{37634561, 37666499, 37492679, 37631015, 37697945, 37630892, 37621849, 37697949}]"
SOUTH PARRISH STREET,"[{49481089, 49481085, 49481087}]"
TROLOD COURT,"[{37622788, 37622790}]"
CLUB ROAD,"[{37649058, 49483746, 5266557666, 5266557667, 49467292, 49483721, 49483692, 49483700, 49459325, 49463478, 2329793367, 49483732, 1395620277, 49483706, 1235109020, 37649053}]"
SHERMAN ROAD,"[{821892112, 821892116, 37930357, 821892021}]"
FAIRWAY AVENUE,"[{37690692, 37679340, 37690655}]"
MARCELLA AVENUE,"[{37731850, 37568884}]"
MARKET PLACE DRIVE,"[{8709856328, 8709856336}]"
WALTERS LANE,"[{37725472, 37478951}]"
RUXTON GREEN COURT,"[{37738707, 37738710}]"
HOFFMAN AVENUE,"[{37693601, 37817562, 37448851, 37384773}]"
CECILIA COURT,"[{5367266206, 5367266183}]"
PLANTAGENET CIRCLE,"[{37760685, 37760719, 37627380, 37627383, 37760669, 37760702, 37629471}]"
WEST FRANKLIN STREET,"[{49502977, 49502979, 49502982, 49431946, 49448074, 49502989, 49502995, 49485715, 1266323864, 49455769, 49503002, 49448602, 49503005, 49460895, 49460896, 49469738, 49408685, 49489203, 49466164, 49503029, 49502901, 49503031, 49502904, 49457721, 49502906, 49502969, 49502909, 49502911, 49500992, 49469249, 49396094, 49502913, 49502916, 961040198, 961040199, 49542223, 49502928, 49499601, 49462483, 49502937, 49502939, 49502941, 49502943, 2669507423, 49502946, 49502949, 1880246249, 2467649002, 1880225770, 49502956, 49502957, 1399362158, 49482351, 49519861, 906487029, 1517920119, 49476344, 49502965, 49502966, 49502973, 49469054, 49469055}]"
CALETA PLACE,"[{37660722, 37660724}]"
OAKFALLS WAY,"[{37820057, 37591770, 37627411}]"
JUNEAU PLACE,"[{49461609, 49461604, 49461605}]"
SORRENTO AVENUE,"[{49501560, 2670819128}]"
SUSQUEHANNA ROAD,"[{37683352, 37612937, 37696074, 37639965}]"
FORWOOD COURT,"[{37286115, 37633327}]"
TRED AVON ROAD,"[{37821381, 37573765, 37639942, 37711144, 37821385, 37821422, 37662770, 37623326}]"
BRIARFIELD COURT,"[{37319256, 37920607}]"
WESTCOTT WAY,"[{37607233, 37647940, 37693206}]"
WIMBLEDON LANE,"[{37790969, 37790970, 37761691, 1401103062}]"
HORN POINT COURT,"[{37866600, 37679125}]"
LANGREHR ROAD,"[{37936640, 37784595, 37564364, 37585380}]"
CIRCLE TERRACE,"[{37739024, 37624322, 2826967927}]"
CHESSINGTON STREET,"[{5096166595, 5096166573, 5096166583, 5096166584, 5096166585}]"
LACOSTA COURT,"[{37632138, 37632146}]"
LAMBORN ROAD,"[{37566176, 9377788867, 3285282918, 2461821870, 3285282895, 37566194, 2483782364, 2483782365}]"
ROCKDALE AVENUE,"[{37854182, 37676655}]"
COMPASS ROAD,"[{37806340, 37930378, 37745553, 37809172, 37627541, 37806357, 37806372, 613929902, 37825838, 37709106, 821883698, 821885876, 821885875, 37097531, 821892160, 37657668, 37678149, 37619782, 37640653, 37643607, 37621975, 37697889, 37760356, 37636453, 37760358, 37729380, 37828717, 37688302, 37685103, 37807349, 37930357, 37924345, 37641086}]"
BELMONT TERRACE,"[{393491046, 37707295}]"
JEFFLAND ROAD,"[{37784675, 37750542, 986812782, 37744369, 37784670, 37744382}]"
BONNIE VIEW DRIVE,"[{49458657, 49423718, 49423722, 49458674, 49566747}]"
WALCOTT ROAD,"[{37866035, 37743491}]"
RIDGEDALE ROAD,"[{49380226, 49423716, 49461924, 1021945765, 49513544, 49512944, 49436528, 1021946129, 49513532, 49509983}]"
SUMMER SQUALL DRIVE,"[{37870152, 37916134, 2123271894, 2123271888}]"
MOHRS LANE,"[{37752039, 37674824, 832662315, 393531053, 832662319}]"
32ND STREET,"[{37616177, 37933713, 37691420}]"
SPRING HOUSE ROAD,"[{37877498, 37822756, 37877477}]"
MERRYVIEW DRIVE,"[{37856808, 37856816, 37856820, 37856826, 2294146588, 37643678}]"
DARLEY AVENUE,"[{49504320, 49538016, 49538018, 49538032, 49534163, 49538010, 49538011, 49514941, 49538014}]"
WHISPERING COURT,"[{37672296, 37918790}]"
CUSTOM HOUSE AVENUE,"[{49536617, 49505647}]"
WEST DUNDALK AVENUE,"[{37502242, 37298221, 1390271686, 37626191}]"
GRAND VALLEY COURT,"[{37763793, 37870001}]"
EMERALD RIDGE COURT,"[{37684257, 37653794, 37734881, 37734861, 37734872}]"
HARRISON ROAD,"[{37782196, 952676014}]"
BRIGHT STAR COURT,"[{2190506289, 37028067}]"
SWEET MEADOW ROAD,"[{2212222241, 2212222242, 2212222243, 2478469441, 2478469454, 2478469455, 2478469456, 2478469439}]"
DAYTONA AVENUE,"[{49541115, 49541117}]"
FARM GATE WAY,"[{37704305, 37402422}]"
EDGEHURST ROAD,"[{49462587, 2706251006}]"
NEW PONCA STREET,"[{966516313, 49558745, 966516519}]"
TALMAN ROAD,"[{37617956, 37617988}]"
IDEAL COURT,"[{37720881, 37720874}]"
CHADNOR COURT,"[{37658296, 37658298}]"
DELANO WAY,"[{37617096, 8530616918}]"
LABYRINTH ROAD,"[{49538310, 49538317, 49538318, 49469199, 49514657, 49512740, 49378990, 37779759, 37633974, 49529035, 7104185677, 7104185679, 37757905, 49538260, 49538261, 37287767, 37779800, 37741665, 37644905, 49516142, 49455347, 37764086, 49473657}]"
SPAULDING AVENUE,"[{49544385, 49534565, 49489734, 49525768, 49557064, 49555053, 49557069, 49547887, 49456240, 49495861, 49536536, 49557081, 49489691, 49378813, 49378815}]"
EXCELSIOR AVENUE,"[{49457840, 49457833}]"
WEST 23RD STREET,"[{49500321, 1251299618, 49500322, 49500324, 49500323, 49478582, 49481494, 49500313}]"
CHESTERFIELD AVENUE,"[{49477248, 49501184, 49487394, 49489220, 49501128, 49472075, 49501134, 49501143, 49489240, 49501149, 49499899, 49501159, 49491434, 49501164, 49501166, 49464943, 49501170, 49501173, 49501176, 49501179, 49501182}]"
